"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)","-0.853","0.137","38.889","0.000","-1.121","-0.585","-1.078","-0.628"
"c_age","-0.012","0.008"," 2.222","0.136","-0.029"," 0.004","-0.026"," 0.001"
"c_is_male","-0.436","0.211"," 4.263","0.039","-0.850","-0.022","-0.783","-0.089"
"c_is_latino","-0.070","0.239"," 0.086","0.770","-0.539"," 0.399","-0.463"," 0.323"
"c_is_not_latino_and_black"," 0.119","0.240"," 0.245","0.621","-0.352"," 0.590","-0.276"," 0.514"
"c_is_not_latino_and_other"," 0.498","0.371"," 1.795","0.180","-0.230"," 1.226","-0.113"," 1.109"
"c_baseline_tobacco_history"," 0.024","0.011"," 5.100","0.024"," 0.003"," 0.045"," 0.007"," 0.042"
"c_has_partner"," 0.490","0.180"," 7.415","0.006"," 0.137"," 0.842"," 0.194"," 0.785"
"c_income_val","-0.011","0.036"," 0.089","0.765","-0.081"," 0.060","-0.070"," 0.049"
"c_any_prompt","-0.042","0.104"," 0.165","0.685","-0.246"," 0.162","-0.213"," 0.129"
"c_substance_is_any_nicotine"," 1.916","0.195","96.923","0.000"," 1.535"," 2.298"," 1.596"," 2.237"
"Y"," 0.006","0.153"," 0.002","0.968","-0.293"," 0.306","-0.245"," 0.257"
